2026-06-17 00:07:00 | INFO    | src.segmentation.segment | ZIP clusters: 109 unique (incl. small-zip fallbacks)
2026-06-17 00:07:00 | INFO    | src.segmentation.segment | corridor breakdown:
corridor
Other                    2454
NYC Corridor             2095
Philadelphia Corridor    1463
2026-06-17 00:07:00 | INFO    | src.segmentation.segment | segmented: 6012 rows → /home/arundatinair/nj-housing-pricing-model/data/processed/nj_housing_segmented.parquet
2026-06-17 00:07:00 | INFO    | __main__ | ───── Phase 5: PRICING ANALYTICS ─────
2026-06-17 00:07:00 | INFO    | src.pricing.pricing_analytics | [county] wrote 21 rows → /home/arundatinair/nj-housing-pricing-model/data/processed/pricing_by_county.csv
2026-06-17 00:07:01 | INFO    | src.pricing.pricing_analytics | [municipality] wrote 112 rows → /home/arundatinair/nj-housing-pricing-model/data/processed/pricing_by_municipality.csv
2026-06-17 00:07:04 | INFO    | src.pricing.pricing_analytics | [zip_cluster] wrote 598 rows → /home/arundatinair/nj-housing-pricing-model/data/processed/pricing_by_zip_cluster.csv
2026-06-17 00:07:04 | INFO    | src.pricing.pricing_analytics | building final pricing matrix
2026-06-17 00:07:04 | INFO    | src.pricing.pricing_analytics | wrote pricing matrix (598 markets × 17 cells) → /home/arundatinair/nj-housing-pricing-model/outputs/pricing_matrix.csv
2026-06-17 00:07:04 | INFO    | __main__ | ───── Phase 6: HEDONIC MODEL ─────
2026-06-17 00:07:05 | INFO    | src.modeling.hedonic_model | wrote model evaluation report → /home/arundatinair/nj-housing-pricing-model/reports/model_evaluation_report.md
2026-06-17 00:07:05 | INFO    | __main__ | model results: {'linear': {'test_metrics': {'MAE': 105988.82530608302, 'RMSE': 226508.237986192, 'R2': 0.4734972186374873}, 'cv_r2_mean': 0.41968674655854193, 'cv_r2_std': 0.21206988880408711, 'cv_mae_mean': 108934.28716166462}, 'ridge': {'best_alpha': 100.0, 'test_metrics': {'MAE': 100739.14175090798, 'RMSE': 220999.34402539022, 'R2': 0.4987958762299427}, 'cv_r2_mean': 0.40879460543394963}}
2026-06-17 00:07:05 | INFO    | __main__ | ───── Phase 7: CLUSTERING ─────
2026-06-17 00:07:07 | INFO    | src.modeling.clustering | k-means: chose k=4 (elbow scan over [2, 8])
2026-06-17 00:07:07 | INFO    | src.modeling.clustering | clustered: 6012 rows → /home/arundatinair/nj-housing-pricing-model/data/processed/listings_with_tier.parquet
2026-06-17 00:07:07 | INFO    | __main__ | ───── Phase 8: CHARTS ─────
2026-06-17 00:07:09 | INFO    | src.visualization.charts | wrote 8 chart files to /home/arundatinair/nj-housing-pricing-model/reports/figures
2026-06-17 00:07:09 | INFO    | __main__ | ───── Phase 9: MAP ─────
2026-06-17 00:07:09 | WARNING | src.visualization.map | no county GeoJSON at /home/arundatinair/nj-housing-pricing-model/data/external/nj_counties.geojson — falling back to centroid markers only
2026-06-17 00:07:15 | INFO    | src.visualization.map | wrote interactive map: /home/arundatinair/nj-housing-pricing-model/outputs/nj_housing_map.html
2026-06-17 00:07:15 | INFO    | __main__ | ───── Phase 10: DECK ─────
2026-06-17 00:07:15 | INFO    | src.reporting.deck | wrote summary deck: /home/arundatinair/nj-housing-pricing-model/reports/summary_deck.pptx
2026-06-17 00:07:15 | INFO    | __main__ | PIPELINE COMPLETE in 15.5s
2026-06-17 00:07:18 | INFO    | __main__ | ───── Phase 1: SCRAPE ─────
2026-06-17 00:07:18 | INFO    | src.scraper.orchestrator | LIVE scrape across 21 NJ counties
2026-06-17 00:07:18 | INFO    | src.scraper.zillow_scraper | [zillow] fetching Atlantic County, NJ
2026-06-17 00:07:18 | WARNING | src.scraper.base_scraper | [zillow] blocked (HTTP 403) on https://www.zillow.com/search/GetSearchPageState.htm?searchQueryState=%7B%22usersSearchTerm%22%3A+%22Atlantic+County+NJ%22%2C+%22filterState%22%3A+%7B%22sortSelection%22%3A+%7B%22value%22%3A+%22globalrelevanceex%22%7D%7D%2C+%22isListVisible%22%3A+true%2C+%22pagination%22%3A+%7B%22currentPage%22%3A+1%7D%7D&wants=%7B%22cat1%22%3A+%5B%22listResults%22%5D%7D&requestId=1
2026-06-17 00:07:18 | WARNING | src.scraper.orchestrator | [zillow] blocked on Atlantic — falling over: zillow blocked: HTTP 403
2026-06-17 00:07:18 | INFO    | src.scraper.realtor_scraper | [realtor] fetching Atlantic County, NJ
2026-06-17 00:07:19 | WARNING | src.scraper.base_scraper | [realtor] blocked (HTTP 429) on https://www.realtor.com/realestateandhomes-search/Atlantic-County_NJ/pg-1
2026-06-17 00:07:19 | WARNING | src.scraper.orchestrator | [realtor] blocked on Atlantic — falling over: realtor blocked: HTTP 429
2026-06-17 00:07:19 | INFO    | src.scraper.redfin_scraper | [redfin] fetching Atlantic County, NJ
2026-06-17 00:07:20 | WARNING | src.scraper.base_scraper | [redfin] blocked (HTTP 403) on https://www.redfin.com/stingray/do/location-autocomplete
2026-06-17 00:07:20 | WARNING | src.scraper.orchestrator | [redfin] blocked on Atlantic — falling over: redfin blocked: HTTP 403
2026-06-17 00:07:20 | ERROR   | src.scraper.orchestrator | ALL sources failed for Atlantic (last error: redfin blocked: HTTP 403)
2026-06-17 00:07:20 | INFO    | src.scraper.zillow_scraper | [zillow] fetching Bergen County, NJ
2026-06-17 00:07:21 | WARNING | src.scraper.base_scraper | [zillow] blocked (HTTP 403) on https://www.zillow.com/search/GetSearchPageState.htm?searchQueryState=%7B%22usersSearchTerm%22%3A+%22Bergen+County+NJ%22%2C+%22filterState%22%3A+%7B%22sortSelection%22%3A+%7B%22value%22%3A+%22globalrelevanceex%22%7D%7D%2C+%22isListVisible%22%3A+true%2C+%22pagination%22%3A+%7B%22currentPage%22%3A+1%7D%7D&wants=%7B%22cat1%22%3A+%5B%22listResults%22%5D%7D&requestId=1
2026-06-17 00:07:21 | WARNING | src.scraper.orchestrator | [zillow] blocked on Bergen — falling over: zillow blocked: HTTP 403
2026-06-17 00:07:21 | INFO    | src.scraper.realtor_scraper | [realtor] fetching Bergen County, NJ
2026-06-17 00:07:21 | WARNING | src.scraper.base_scraper | [realtor] blocked (HTTP 429) on https://www.realtor.com/realestateandhomes-search/Bergen-County_NJ/pg-1
2026-06-17 00:07:21 | WARNING | src.scraper.orchestrator | [realtor] blocked on Bergen — falling over: realtor blocked: HTTP 429
2026-06-17 00:07:21 | INFO    | src.scraper.redfin_scraper | [redfin] fetching Bergen County, NJ
2026-06-17 00:07:22 | WARNING | src.scraper.base_scraper | [redfin] blocked (HTTP 403) on https://www.redfin.com/stingray/do/location-autocomplete
2026-06-17 00:07:22 | WARNING | src.scraper.orchestrator | [redfin] blocked on Bergen — falling over: redfin blocked: HTTP 403
2026-06-17 00:07:22 | ERROR   | src.scraper.orchestrator | ALL sources failed for Bergen (last error: redfin blocked: HTTP 403)
2026-06-17 00:07:22 | INFO    | src.scraper.zillow_scraper | [zillow] fetching Burlington County, NJ
2026-06-17 00:07:23 | WARNING | src.scraper.base_scraper | [zillow] blocked (HTTP 403) on https://www.zillow.com/search/GetSearchPageState.htm?searchQueryState=%7B%22usersSearchTerm%22%3A+%22Burlington+County+NJ%22%2C+%22filterState%22%3A+%7B%22sortSelection%22%3A+%7B%22value%22%3A+%22globalrelevanceex%22%7D%7D%2C+%22isListVisible%22%3A+true%2C+%22pagination%22%3A+%7B%22currentPage%22%3A+1%7D%7D&wants=%7B%22cat1%22%3A+%5B%22listResults%22%5D%7D&requestId=1
2026-06-17 00:07:23 | WARNING | src.scraper.orchestrator | [zillow] blocked on Burlington — falling over: zillow blocked: HTTP 403
2026-06-17 00:07:23 | INFO    | src.scraper.realtor_scraper | [realtor] fetching Burlington County, NJ
2026-06-17 00:07:24 | WARNING | src.scraper.base_scraper | [realtor] blocked (HTTP 429) on https://www.realtor.com/realestateandhomes-search/Burlington-County_NJ/pg-1
2026-06-17 00:07:24 | WARNING | src.scraper.orchestrator | [realtor] blocked on Burlington — falling over: realtor blocked: HTTP 429
2026-06-17 00:07:24 | INFO    | src.scraper.redfin_scraper | [redfin] fetching Burlington County, NJ
2026-06-17 00:07:24 | WARNING | src.scraper.base_scraper | [redfin] blocked (HTTP 403) on https://www.redfin.com/stingray/do/location-autocomplete
2026-06-17 00:07:24 | WARNING | src.scraper.orchestrator | [redfin] blocked on Burlington — falling over: redfin blocked: HTTP 403
2026-06-17 00:07:24 | ERROR   | src.scraper.orchestrator | ALL sources failed for Burlington (last error: redfin blocked: HTTP 403)
2026-06-17 00:07:24 | INFO    | src.scraper.zillow_scraper | [zillow] fetching Camden County, NJ
2026-06-17 00:07:26 | WARNING | src.scraper.base_scraper | [zillow] blocked (HTTP 403) on https://www.zillow.com/search/GetSearchPageState.htm?searchQueryState=%7B%22usersSearchTerm%22%3A+%22Camden+County+NJ%22%2C+%22filterState%22%3A+%7B%22sortSelection%22%3A+%7B%22value%22%3A+%22globalrelevanceex%22%7D%7D%2C+%22isListVisible%22%3A+true%2C+%22pagination%22%3A+%7B%22currentPage%22%3A+1%7D%7D&wants=%7B%22cat1%22%3A+%5B%22listResults%22%5D%7D&requestId=1
2026-06-17 00:07:26 | WARNING | src.scraper.orchestrator | [zillow] blocked on Camden — falling over: zillow blocked: HTTP 403
